Name,Description of Question,Link to STACK question,Link to STACK question,Review status,Feedback Section
Probability Calculations with a Given Probability Mass Function (PMF),"This question involves calculating probabilities using a given probability mass function (PMF) for a discrete random variable. The PMF is provided in a table format, and the student is asked to determine the probabilities for various events involving the random variable. The question tests the student's understanding of PMFs and their ability to apply them to calculate probabilities.",https://ecampus.idems.international/question/bank/history/history.php?entryid=86824&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86824&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Ready for review
Probability calculations for an exponential distribution function,This question involves calculating probabilities using a given probability distribution function (PDF) for a continuous exponential random variable. The mean of the distribution is provided. The question tests the student's understanding of PDFs and their ability to apply them to calculate probabilities.,https://ecampus.idems.international/question/bank/history/history.php?entryid=92274&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=92274&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Ready for review
Probability calculations for an exponential distribution function,This question involves calculating probabilities using a given probability distribution function (PDF) for a continuous exponential random variable. The mean of the distribution is provided. The question tests the student's understanding of PDFs and their ability to apply them to calculate probabilities.,https://ecampus.idems.international/question/bank/history/history.php?entryid=113701&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046%26qpage%3D0%26qperpage%3D1000&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=113701&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046%26qpage%3D0%26qperpage%3D1000&courseid=248,,Ready for review
Probability calculations for an exponential distribution function,This question involves calculating probabilities using a given probability distribution function (PDF) for a continuous exponential random variable. The mean of the distribution is provided. The question tests the student's understanding of PDFs and their ability to apply them to calculate probabilities.,https://ecampus.idems.international/question/edit.php?courseid=248&qperpage=1000&category=11692%2C82046&lastchanged=155949#,https://ecampus.idems.international/question/edit.php?courseid=248&qperpage=1000&category=11692%2C82046&lastchanged=155949#,,Ready for review
Probability Calculations with a Given Probability Mass Function (PMF),"This question involves calculating probabilities using a given probability mass function (PMF) for a discrete random variable. The PMF is provided in a table format, and the student is asked to determine the probabilities for various events involving the random variable. The question tests the student's understanding of PMFs and their ability to apply them to calculate probabilities.",https://ecampus.idems.international/question/bank/history/history.php?entryid=86824&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86824&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Ready for review
Calculate the probability values of selecting without replacement,"This question involves calculating probabilities related to drawing colored beads from a bag without replacement. The first part asks for the probability of selecting specific colors in a specific order, while the second part asks for the probability of selecting one bead of each color. The question provides the total number of beads and the number of each color as given information.",https://ecampus.idems.international/question/bank/history/history.php?entryid=86819&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86819&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Ready for review
Calculating Probability Mass Function Values for a Discrete Random Variable,This question involves determining the value of a variable in a probability mass function for a discrete random variable. The student is given a table with missing values and is asked to find the value of the variable and complete the table accordingly. The question tests the student's understanding of probability mass functions and their calculations.,https://ecampus.idems.international/question/bank/history/history.php?entryid=86823&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86823&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Ready for review
Calculating Probability Mass Function Values for a Discrete Random Variable,This question involves determining the value of a variable in a probability mass function for a discrete random variable. The student is given a table with missing values and is asked to find the value of the variable and complete the table accordingly. The question tests the student's understanding of probability mass functions and their calculations.,https://ecampus.idems.international/question/bank/history/history.php?entryid=86823&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86823&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Ready for review
Calculating probabilities for a continuous Poisson random variable,"Given the distribution of elephants in a park thats divided into regions, calculate the different probalities",https://ecampus.idems.international/question/bank/history/history.php?entryid=92276&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=92276&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Ready for review
Solve for the unknown in a probability distribution function for a continuous random variable,Solve the value of unknown in a probability distribution function which is also presented as a graph.,https://ecampus.idems.international/question/bank/history/history.php?entryid=92275&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=92275&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Ready for review
